# PLC110 (1272x2800 @560dpi, 1dp=3.5px) v2.5.4 release vc45
# columns 210..1000 = text column (cover occupies 0..196, buttons are right of 1000)
# y mean std max
2380 4.3 25.0 240
2381 4.3 25.2 240
2382 4.2 25.2 240
2383 4.3 25.5 247
2384 4.4 25.6 246
2385 4.3 25.6 246
2386 4.3 25.6 243
2387 4.3 25.6 246
2388 4.2 25.5 245
2389 4.2 25.5 246
2390 4.2 25.4 246
2391 4.2 25.4 247
2392 4.2 25.9 251
2393 2.8 14.1 127
2394 1.4 6.3 45
2395 1.4 6.3 44
2396 1.4 6.3 45
2397 1.4 6.2 44
2398 1.4 6.0 43
2399 1.4 6.0 42
2400 1.4 6.0 42
2401 1.4 6.0 42
2402 1.3 5.9 42
2403 1.3 5.8 42
2404 1.3 5.7 42
2405 1.3 5.6 42
2406 1.3 5.6 42
2407 1.3 5.5 43
2408 26.0 0.0 26
2409 26.0 0.0 26
2410 26.0 0.0 26
2411 26.0 0.0 26
2412 26.0 0.0 26
2413 26.0 0.0 26
2414 26.0 0.0 26
2415 26.0 0.0 26
2416 26.0 0.0 26
2417 26.0 0.0 26
2418 26.0 0.0 26
2419 26.0 0.0 26
2420 26.0 0.0 26
2421 26.0 0.0 26
2422 26.0 0.0 26
2423 26.0 0.0 26
2424 26.0 0.0 26
2425 26.0 0.0 26
2426 26.0 0.0 26
2427 26.0 0.0 26
2428 26.0 0.0 26
2429 26.0 0.0 26
2430 26.0 0.0 26
2431 26.0 0.0 26
2432 26.0 0.0 26
2433 26.0 0.0 26
2434 26.0 0.0 26
2435 26.0 0.0 26
2436 26.0 0.0 26
2437 26.0 0.0 26
2438 26.0 0.0 26
2439 26.0 0.0 26
2440 26.0 0.0 26
2441 26.0 0.0 26
2442 26.0 0.0 26
2443 26.0 0.0 26
2444 26.0 0.0 26
2445 26.0 0.0 26
2446 26.0 0.0 26
2447 26.0 0.0 26
2448 26.0 0.0 26
2449 26.0 0.0 26
2450 26.0 0.0 26
2451 26.0 0.0 26
2452 26.0 0.0 26
2453 26.0 0.0 26
2454 26.0 0.0 26
2455 26.0 0.0 26
2456 26.0 0.0 26
2457 26.1 1.6 64
2458 30.1 15.2 153
2459 41.2 32.2 153
2460 49.4 41.7 153
2461 51.6 43.2 153
2462 51.9 42.5 153
2463 52.0 41.1 153
2464 56.5 45.5 153
2465 57.5 45.8 153
2466 56.6 45.2 153
2467 58.8 45.6 153
2468 58.8 45.6 153
2469 61.4 46.5 153
2470 63.4 48.8 153
2471 61.7 45.2 153
2472 53.7 44.4 153
2473 55.8 44.0 153
2474 53.3 43.2 153
2475 52.4 43.5 153
2476 52.4 42.5 153
2477 55.5 44.6 153
2478 55.2 44.2 153
2479 56.4 45.7 153
2480 59.6 46.3 153
2481 56.9 44.7 153
2482 54.5 44.2 153
2483 54.3 44.2 153
2484 55.2 44.8 153
2485 53.8 43.6 153
2486 54.1 44.4 153
2487 53.6 43.8 153
2488 52.0 42.6 153
2489 53.4 42.6 153
2490 63.9 47.5 153
2491 70.7 48.8 153
2492 69.7 49.6 153
2493 64.2 48.2 153
2494 54.4 41.5 153
2495 37.6 27.4 153
2496 26.9 5.2 130
2497 26.0 0.0 26
2498 26.0 0.0 26
2499 26.0 0.0 26
2500 26.0 0.0 26
2501 26.0 0.0 26
2502 26.0 0.0 26
2503 26.0 0.0 26
2504 26.0 0.0 26
2505 26.0 0.0 26
2506 26.0 0.0 26
2507 26.5 6.4 107
2508 30.8 31.0 255
2509 36.0 39.9 255
2510 49.1 63.5 255
2511 57.3 75.4 255
2512 62.4 78.2 255
2513 73.9 83.9 255
2514 80.1 81.7 255
2515 86.3 82.7 255
2516 77.6 77.1 255
2517 80.4 80.9 255
2518 86.2 84.0 255
2519 78.5 81.8 255
2520 80.9 82.7 255
2521 80.1 86.2 255
2522 75.9 85.2 255
2523 73.1 76.6 255
2524 87.1 88.4 255
2525 92.8 89.2 255
2526 82.6 82.8 255
2527 83.3 83.7 255
2528 83.2 85.6 255
2529 78.7 78.6 255
2530 75.1 78.0 255
2531 69.8 75.4 255
2532 69.9 75.4 255
2533 75.4 78.4 255
2534 79.9 82.4 255
2535 75.0 81.1 255
2536 75.7 80.1 255
2537 81.5 82.5 255
2538 81.8 82.2 255
2539 76.2 75.3 255
2540 76.1 80.0 255
2541 83.0 82.4 255
2542 85.1 86.1 255
2543 86.6 86.9 255
2544 91.4 86.8 255
2545 88.0 89.1 255
2546 84.0 89.4 255
2547 76.8 85.8 255
2548 62.5 75.5 255
2549 50.6 68.3 255
2550 41.9 51.1 255
2551 31.8 30.2 255
2552 26.4 4.3 105
2553 26.0 0.0 26
2554 26.0 0.0 26
2555 26.0 0.0 26
2556 26.0 0.0 26
2557 26.0 0.0 26
2558 26.0 0.0 26
2559 26.0 0.0 26
2560 26.0 0.0 26
2561 26.0 0.0 26
2562 26.0 0.0 26
2563 26.0 0.0 26
2564 26.0 0.0 26
2565 26.0 0.0 26
2566 26.0 0.0 26
2567 26.0 0.0 26
2568 26.0 0.0 26
2569 26.0 0.0 26
2570 26.0 0.0 26
2571 26.0 0.0 26
2572 26.0 0.0 26
2573 26.0 0.0 26
2574 26.0 0.0 26
2575 26.0 0.0 26
2576 26.0 0.0 26
2577 26.0 0.0 26
2578 26.0 0.0 26
2579 26.0 0.0 26
2580 26.0 0.0 26
2581 26.0 0.0 26
2582 26.0 0.0 26
2583 26.0 0.0 26
2584 26.0 0.0 26
2585 26.0 0.0 26
2586 26.0 0.0 26
2587 26.0 0.0 26
2588 26.0 0.0 26
2589 26.0 0.0 26
2590 26.0 0.0 26
2591 26.0 0.0 26
2592 26.0 0.0 26
2593 26.0 0.0 26
2594 26.0 0.0 26
2595 26.0 0.0 26
2596 26.0 0.0 26
2597 26.0 0.0 26
2598 26.0 0.0 26
2599 26.0 0.0 26
2600 26.0 0.0 26
2601 26.0 0.0 26
2602 26.0 0.0 26
2603 26.0 0.0 26
2604 36.6 31.5 153
2605 36.6 31.5 153
2606 36.6 31.5 153
2607 36.6 31.5 153
2608 36.6 31.5 153
2609 36.6 31.5 153
2610 36.6 31.5 153
2611 26.0 0.0 26
2612 26.0 0.0 26
2613 26.0 0.0 26
2614 26.0 0.0 26
2615 26.0 0.0 26
2616 26.0 0.0 26
2617 26.0 0.0 26
2618 26.0 0.0 26
2619 26.0 0.0 26
