# PLC110 v2.5.5 release vc46, text column x=210..900 (cover 0..196, buttons right of 950)
# y mean std max
2300 1.9 8.5 94
2301 2.0 9.2 104
2302 2.0 9.0 105
2303 1.9 8.5 95
2304 1.9 8.5 100
2305 1.9 8.6 95
2306 1.9 8.7 108
2307 2.0 9.1 104
2308 2.1 9.8 116
2309 2.0 9.3 90
2310 1.9 8.4 82
2311 1.9 8.5 93
2312 2.4 12.0 131
2313 2.9 16.0 189
2314 2.1 9.1 56
2315 1.9 8.7 42
2316 1.8 8.3 43
2317 1.6 8.0 69
2318 0.0 0.0 0
2319 0.0 0.0 0
2320 0.0 0.0 0
2321 0.0 0.0 0
2322 0.0 0.0 0
2323 0.0 0.0 0
2324 26.0 0.0 26
2325 26.0 0.0 26
2326 26.0 0.0 26
2327 26.0 0.0 26
2328 26.0 0.0 26
2329 26.0 0.0 26
2330 26.0 0.0 26
2331 26.0 0.0 26
2332 26.0 0.0 26
2333 26.0 0.0 26
2334 26.0 0.0 26
2335 26.0 0.0 26
2336 26.0 0.0 26
2337 26.0 0.0 26
2338 26.0 0.0 26
2339 26.0 0.0 26
2340 26.0 0.0 26
2341 26.0 0.0 26
2342 26.0 0.0 26
2343 26.0 0.0 26
2344 26.0 0.0 26
2345 26.0 0.0 26
2346 26.0 0.0 26
2347 26.0 0.0 26
2348 26.0 0.0 26
2349 26.0 0.0 26
2350 26.0 0.0 26
2351 26.0 0.0 26
2352 26.0 0.0 26
2353 26.0 0.0 26
2354 26.0 0.0 26
2355 26.0 0.0 26
2356 26.0 0.0 26
2357 26.0 0.0 26
2358 26.0 0.0 26
2359 26.0 0.0 26
2360 26.0 0.0 26
2361 26.0 0.0 26
2362 26.0 0.0 26
2363 26.0 0.0 26
2364 26.0 0.0 26
2365 26.0 0.0 26
2366 26.0 0.0 26
2367 26.0 0.0 26
2368 26.0 0.0 26
2369 26.0 0.0 26
2370 26.0 0.0 26
2371 26.0 0.0 26
2372 26.0 0.0 26
2373 26.0 0.0 26
2374 26.0 0.0 26
2375 26.0 0.0 26
2376 26.0 0.0 26
2377 26.0 0.0 26
2378 26.0 0.0 26
2379 26.0 0.0 26
2380 26.0 0.0 26
2381 26.0 0.0 26
2382 26.0 0.0 26
2383 26.0 0.0 26
2384 26.0 0.0 26
2385 26.3 3.9 102
2386 29.9 16.1 153
2387 42.4 33.2 153
2388 47.0 41.2 153
2389 47.0 41.1 153
2390 47.9 41.1 153
2391 46.9 39.9 153
2392 39.0 32.9 153
2393 38.7 32.8 153
2394 38.5 32.6 153
2395 40.1 33.0 153
2396 41.0 35.5 153
2397 42.7 36.7 153
2398 44.9 39.0 153
2399 43.7 37.2 153
2400 42.4 36.2 153
2401 42.1 35.7 153
2402 45.3 38.6 153
2403 46.1 40.0 153
2404 46.0 39.5 153
2405 45.4 39.5 153
2406 44.9 38.4 153
2407 40.3 34.8 153
2408 40.3 34.8 153
2409 39.3 33.1 153
2410 39.8 33.8 153
2411 39.5 33.8 153
2412 39.6 33.5 153
2413 41.0 35.3 153
2414 42.2 36.5 153
2415 42.2 36.1 153
2416 43.3 37.5 153
2417 41.9 36.0 153
2418 43.2 37.2 153
2419 43.1 37.3 153
2420 39.5 33.0 153
2421 36.2 29.6 153
2422 32.9 23.6 153
2423 27.0 6.6 139
2424 26.0 0.0 27
2425 26.0 0.0 26
2426 26.0 0.0 26
2427 26.0 0.0 26
2428 26.0 0.0 26
2429 26.0 0.0 26
2430 26.0 0.0 26
2431 26.0 0.0 26
2432 26.0 0.0 26
2433 26.0 0.0 26
2434 26.0 0.0 26
2435 26.0 0.0 26
2436 26.0 0.0 26
2437 26.0 0.0 26
2438 26.0 0.0 26
2439 26.0 0.0 26
2440 26.1 1.9 77
2441 28.2 17.1 255
2442 34.9 42.3 255
2443 45.0 56.3 255
2444 50.7 69.7 255
2445 55.9 73.0 255
2446 69.6 84.4 255
2447 76.0 93.7 255
2448 74.4 90.8 255
2449 74.0 91.0 255
2450 74.1 89.6 255
2451 71.8 87.4 255
2452 70.2 87.6 255
2453 71.2 88.7 255
